comment,source_type
"I spend three hours every Monday copying numbers between spreadsheets.",business workflow
"The subscription is too expensive for a solo creator.",creator tools
"This course moves so fast that I don't understand the examples.",online learning
"The app crashes whenever I upload a large file!",software
"I cannot find clear documentation for the integration.",software
"Customer service ignored my refund request for two weeks.",customer service
"I'm overwhelmed and worried that I chose the wrong study plan.",study
"Can this weekly reporting workflow be automated?",business workflow
"The interface is confusing and the login button doesn't work.",software
"Scheduling posts manually every day is repetitive and exhausting.",creator workflow
"I need one place to automatically organize comments from my exported files.",creator research
"The hidden fee makes me question whether I can trust this company.",product review
"It takes too long to edit captions for every social platform.",creator workflow
"The tutorial assumes too much knowledge and the learning curve is steep.",online learning
"Support was rude and gave me the same useless answer again.",customer service
"I am anxious because the pricing changes are unclear.",business software
"Why do I have to copy and paste every customer order manually?",business workflow
"The analytics are slow and sometimes show broken charts.",software
"I can't find which lesson explains this assignment.",study
"This tool costs too much and I still need another subscription.",creator tools
"There are so many conflicting guides that I have information overload.",research
"I don't trust these fake testimonials and vague security claims.",trust concern
"每周都要手动复制粘贴这些表格，太浪费时间了。",business workflow
"这个软件经常崩溃，界面也很难用。",software
"课程太难了，很多地方看不懂，也没有基础教程。",online learning
"价格太贵，隐藏费用让我觉得不值得。",product review
"客服一直不回复我的退款申请，真的很生气！",customer service
"每天都要重复发布内容，希望可以一键自动化。",creator workflow
"找不到清楚的说明，不知道哪里可以设置集成。",software
"我很焦虑，不确定这个学习计划是否适合我。",study
"账号总是登录出错，已经耽误我几个小时了。",software
"售后态度差，投诉之后还是没人回复。",customer service
"做短视频字幕太耗时，每个平台还要重新调整。",creator workflow
"希望自动整理客户反馈并生成每周报告。",business workflow
"这个课程收费很高，但是内容信息不足。",online learning
"我担心平台的隐私和安全，不敢上传客户数据。",trust and privacy
"每个月都要反复核对发票和表格，效率太低。",business workflow
"The export is broken and I urgently need the report today!!",software
"I never know what content topic to choose, and the uncertainty is stressful.",creator problem
"There is no response from support when billing fails.",customer service
"I want to integrate my approved tools instead of updating each one manually.",business workflow
"The course platform is hard to use on mobile and videos keep freezing.",online learning
"批量处理订单还是要手动操作，根本不算自动化。",business workflow
"教程说得不清楚，我花了很久还是学不会。",online learning
"这个月又自动收费了，客服马上帮我退款！",customer service
"Reading hundreds of exported comments takes hours; I need an automatic summary.",creator research
"资料太多而且说法互相冲突，我完全不知道该信谁。",information overload
"每天回复相同的客户问题让我非常烦，希望能自动处理。",customer service

